"Index","MXX.Open","MXX.High","MXX.Low","MXX.Close","MXX.Volume","MXX.Adjusted"
"2012-06-11",37326.101563,37682.101563,37023.621094,37035.75,157652400,37035.75
"2012-06-12",37097.320313,37271,36898.519531,37271,176581400,37271
"2012-06-13",37266.699219,37288.480469,37110.628906,37142.148438,221401200,37142.148438
"2012-06-14",37144.898438,37537.261719,37092.738281,37440.480469,199795400,37440.480469
"2012-06-15",37440.691406,37894.351563,37365.039063,37738.578125,415060000,37738.578125
"2012-06-18",37743.039063,38060.820313,37636.480469,38060.820313,156614200,38060.820313
"2012-06-19",38060.820313,38760.269531,37985.890625,38688.648438,243869600,38688.648438
"2012-06-20",38689.691406,39023.050781,38655.320313,38973.640625,213396800,38973.640625
"2012-06-21",38974.089844,38977.859375,38512.589844,38515.941406,231964800,38515.941406
"2012-06-22",38522.628906,39128.378906,38522.628906,39071.5,194105600,39071.5
"2012-06-25",39070.941406,39222.699219,38964.578125,39157.511719,201301600,39157.511719
"2012-06-26",39159.71875,39513.320313,39104.601563,39339.148438,287021000,39339.148438
"2012-06-27",39339.339844,39908.410156,39220.078125,39490.679688,275045600,39490.679688
"2012-06-28",39490.679688,39729.359375,39357.859375,39637.660156,154836200,39637.660156
"2012-06-29",39638.21875,40248.421875,39638.21875,40199.550781,348380800,40199.550781
"2012-07-03",40108.921875,40550.230469,40087.269531,40434.710938,149448000,40434.710938
"2012-07-04",40439.21875,40509.738281,40322.878906,40353.429688,48215600,40353.429688
"2012-07-05",40348.179688,40400.570313,39949.628906,40040.691406,174588600,40040.691406
"2012-07-06",40048.089844,40057.460938,39822.96875,39831.648438,123211800,39831.648438
"2012-07-09",39831.300781,39970.539063,39692.429688,39963.261719,139973800,39963.261719
"2012-07-10",40007.539063,40195.460938,39931.078125,40049.589844,165805400,40049.589844
"2012-07-11",40048.671875,40286.089844,39913.339844,40221.800781,193389200,40221.800781
"2012-07-12",40221.550781,40283.78125,39813.390625,40268.410156,185157200,40268.410156
"2012-07-13",40267.691406,40582.570313,40211.121094,40498.46875,145145200,40498.46875
"2012-07-16",40498.46875,40933.691406,40406.25,40910.800781,138286000,40910.800781
"2012-07-17",40910.851563,41296.589844,40885.601563,41273.019531,212000400,41273.019531
"2012-07-18",41224.941406,41346.078125,40737.929688,40747.46875,160594800,40747.46875
"2012-07-19",40747.539063,40801.109375,40476.871094,40752.53125,154882400,40752.53125
"2012-07-20",40754.699219,40841.5,40638.308594,40808.730469,185224400,40808.730469
"2012-07-23",40806.238281,40963.519531,40365.308594,40947.550781,136237000,40947.550781
"2012-07-24",40948.128906,41013.921875,40566.78125,40697.871094,159961400,40697.871094
"2012-07-25",40697.871094,40890.828125,40434.101563,40435.101563,140994200,40435.101563
"2012-07-26",40442.699219,40983.449219,40442.699219,40977.320313,174592400,40977.320313
"2012-07-27",40978.929688,41600.589844,40789.988281,41476.480469,272049400,41476.480469
"2012-07-30",41472.5,41525.230469,41187.71875,41333.109375,180439000,41333.109375
"2012-07-31",41333.179688,41486.289063,40704.230469,40704.28125,261559400,40704.28125
"2012-08-01",40698.558594,41078.859375,40600.839844,40805.398438,139275600,40805.398438
"2012-08-02",40804.488281,40868.550781,40630.46875,40759,167643200,40759
"2012-08-03",40759.519531,41163.101563,40758.621094,40998.398438,121473400,40998.398438
"2012-08-06",40999.039063,41153.648438,40934.949219,41096.441406,152137800,41096.441406
"2012-08-07",41096.441406,41383.789063,41058.789063,41070.238281,145141800,41070.238281
"2012-08-08",41069.859375,41090.011719,40762.941406,40851.179688,157632000,40851.179688
"2012-08-09",40836.109375,40991.210938,40676.75,40677.480469,158944000,40677.480469
"2012-08-10",40677.480469,40853.878906,40546.160156,40850,162371200,40850
"2012-08-13",40852.800781,40931.53125,40360.941406,40366.269531,121431000,40366.269531
"2012-08-14",40368.558594,40729.550781,40368.558594,40644.96875,157388000,40644.96875
"2012-08-15",40644.730469,40805.140625,40228.378906,40792.589844,179690800,40792.589844
"2012-08-16",40797.28125,40861.890625,40485.359375,40714.871094,233547400,40714.871094
"2012-08-17",40706.441406,40809.261719,40547.410156,40547.488281,191584400,40547.488281
"2012-08-20",40549.839844,40618.039063,40347.800781,40350,105449600,40350
"2012-08-21",40338.820313,40639.558594,39965.03125,40096.640625,184962200,40096.640625
"2012-08-22",40096.828125,40233.738281,39759.28125,40027.128906,225597800,40027.128906
"2012-08-23",40027.03125,40110.238281,39753.121094,39879.011719,178543600,39879.011719
"2012-08-24",39877.988281,40239.28125,39766.808594,40211.410156,149959800,40211.410156
